task_id,learner_id,iteration,surv.graf,surv.harrell_c,algo,PCA,Tuning
Radiomics Liver,"glmnet (no PCA, untuned)",10,0.194551415641507,0.5,cv_glmnet,no PCA,untuned
Radiomics Liver,"glmnet (PCA, untuned)",1,0.16901031361962,0.5,cv_glmnet,PCA,untuned
Radiomics Liver,"glmnet (PCA, untuned)",2,0.17527204263344,0.5,cv_glmnet,PCA,untuned
Radiomics Liver,"glmnet (PCA, untuned)",3,0.197194738921764,0.5,cv_glmnet,PCA,untuned
Radiomics Liver,"glmnet (PCA, untuned)",4,0.192129269456782,0.5,cv_glmnet,PCA,untuned
Radiomics Liver,"glmnet (PCA, untuned)",5,0.170490633733861,0.5,cv_glmnet,PCA,untuned
Radiomics Liver,"glmnet (PCA, untuned)",6,0.188931753577806,0.5,cv_glmnet,PCA,untuned
Radiomics Liver,"glmnet (PCA, untuned)",7,0.192637404811705,0.5,cv_glmnet,PCA,untuned
Radiomics Liver,"glmnet (PCA, untuned)",8,0.17197399949559,0.5,cv_glmnet,PCA,untuned
Radiomics Liver,"glmnet (PCA, untuned)",9,0.188956238705396,0.5,cv_glmnet,PCA,untuned
Radiomics Liver,"glmnet (PCA, untuned)",10,0.194551415641507,0.5,cv_glmnet,PCA,untuned
Radiomics Liver,"RSF (no PCA, untuned)",1,0.16292821436501,0.656050980091095,rfsrc,no PCA,untuned
Radiomics Liver,"RSF (no PCA, untuned)",2,0.17668918255368,0.56717848777771,rfsrc,no PCA,untuned
Radiomics Liver,"RSF (no PCA, untuned)",3,0.190150771244588,0.625461280345917,rfsrc,no PCA,untuned
Radiomics Liver,"RSF (no PCA, untuned)",4,0.189316850522589,0.592188894748688,rfsrc,no PCA,untuned
Radiomics Liver,"RSF (no PCA, untuned)",5,0.174913184886871,0.472960591316223,rfsrc,no PCA,untuned
Radiomics Liver,"RSF (no PCA, untuned)",6,0.190028935801881,0.5358806848526,rfsrc,no PCA,untuned
Radiomics Liver,"RSF (no PCA, untuned)",7,0.194902590778021,0.555868566036224,rfsrc,no PCA,untuned
Radiomics Liver,"RSF (no PCA, untuned)",8,0.152867645144297,0.604604601860046,rfsrc,no PCA,untuned
Radiomics Liver,"RSF (no PCA, untuned)",9,0.164226552749332,0.67518937587738,rfsrc,no PCA,untuned
Radiomics Liver,"RSF (no PCA, untuned)",10,0.195029767202566,0.612676084041595,rfsrc,no PCA,untuned
Radiomics Liver,"RSF (PCA, untuned)",1,0.188794456405089,0.558689713478088,rfsrc,PCA,untuned
Radiomics Liver,"RSF (PCA, untuned)",2,0.202681192945086,0.525911688804626,rfsrc,PCA,untuned
Radiomics Liver,"RSF (PCA, untuned)",3,0.225236557319117,0.567343175411224,rfsrc,PCA,untuned
Radiomics Liver,"RSF (PCA, untuned)",4,0.207554533949868,0.565849244594574,rfsrc,PCA,untuned
Radiomics Liver,"RSF (PCA, untuned)",5,0.180842491863369,0.496791929006577,rfsrc,PCA,untuned
Radiomics Liver,"RSF (PCA, untuned)",6,0.188942566945768,0.557315945625305,rfsrc,PCA,untuned
Radiomics Liver,"RSF (PCA, untuned)",7,0.19108567946543,0.573708891868591,rfsrc,PCA,untuned
Radiomics Liver,"RSF (PCA, untuned)",8,0.171669252379427,0.577577590942383,rfsrc,PCA,untuned
Radiomics Liver,"RSF (PCA, untuned)",9,0.190570362023343,0.662878811359406,rfsrc,PCA,untuned
Radiomics Liver,"RSF (PCA, untuned)",10,0.210325786761472,0.562374234199524,rfsrc,PCA,untuned
Radiomics Liver,"xgboost (no PCA, untuned)",1,0.381748272679224,0.551410377025604,xgboost,no PCA,untuned
Radiomics Liver,"xgboost (no PCA, untuned)",2,0.408284074198126,0.484644919633865,xgboost,no PCA,untuned
Radiomics Liver,"xgboost (no PCA, untuned)",3,0.376341867720891,0.479704797267914,xgboost,no PCA,untuned
Radiomics Liver,"xgboost (no PCA, untuned)",4,0.375132377921992,0.520435988903046,xgboost,no PCA,untuned
Radiomics Liver,"xgboost (no PCA, untuned)",5,0.412446275312487,0.529789209365845,xgboost,no PCA,untuned
Radiomics Liver,"xgboost (no PCA, untuned)",6,0.438459391765486,0.479030758142471,xgboost,no PCA,untuned
Radiomics Liver,"xgboost (no PCA, untuned)",7,0.449211936975585,0.437558680772781,xgboost,no PCA,untuned
Radiomics Liver,"xgboost (no PCA, untuned)",8,0.448826731381661,0.519519507884979,xgboost,no PCA,untuned
Radiomics Liver,"xgboost (no PCA, untuned)",9,0.437113622887761,0.499053031206131,xgboost,no PCA,untuned
Radiomics Liver,"xgboost (no PCA, untuned)",10,0.347130957073272,0.420523136854172,xgboost,no PCA,untuned
Radiomics Liver,"xgboost (PCA, untuned)",1,0.381748272679224,0.434940844774246,xgboost,PCA,untuned
Radiomics Liver,"xgboost (PCA, untuned)",2,0.408284074198126,0.461612284183502,xgboost,PCA,untuned
Radiomics Liver,"xgboost (PCA, untuned)",3,0.376341867720891,0.459409594535828,xgboost,PCA,untuned
Radiomics Liver,"xgboost (PCA, untuned)",4,0.375132377921992,0.425976395606995,xgboost,PCA,untuned
Radiomics Liver,"xgboost (PCA, untuned)",5,0.412446275312487,0.516956925392151,xgboost,PCA,untuned
Radiomics Liver,"xgboost (PCA, untuned)",6,0.438459391765486,0.423112779855728,xgboost,PCA,untuned
Radiomics Liver,"xgboost (PCA, untuned)",7,0.449211936975585,0.479812204837799,xgboost,PCA,untuned
Radiomics Liver,"xgboost (PCA, untuned)",8,0.448826731381661,0.449449449777603,xgboost,PCA,untuned
Radiomics Liver,"xgboost (PCA, untuned)",9,0.436046891452534,0.34375,xgboost,PCA,untuned
Radiomics Liver,"xgboost (PCA, untuned)",10,0.347130957073272,0.447686105966568,xgboost,PCA,untuned
Radiomics Tumor,"glmnet (no PCA, untuned)",1,0.227595059163958,0.657870769500732,cv_glmnet,no PCA,untuned
Radiomics Tumor,"glmnet (no PCA, untuned)",2,0.305076523303097,0.612284064292908,cv_glmnet,no PCA,untuned
Radiomics Tumor,"glmnet (no PCA, untuned)",3,0.2341849274151,0.683579325675964,cv_glmnet,no PCA,untuned
Radiomics Tumor,"glmnet (no PCA, untuned)",4,0.259060239316573,0.577656686306,cv_glmnet,no PCA,untuned
Radiomics Tumor,"glmnet (no PCA, untuned)",5,0.27722415231794,0.573785543441772,cv_glmnet,no PCA,untuned
Radiomics Tumor,"glmnet (no PCA, untuned)",6,0.220090158983541,0.661696195602417,cv_glmnet,no PCA,untuned
Radiomics Tumor,"glmnet (no PCA, untuned)",7,0.284114934946854,0.604694843292236,cv_glmnet,no PCA,untuned
Radiomics Tumor,"glmnet (no PCA, untuned)",8,0.264875239862021,0.701701700687408,cv_glmnet,no PCA,untuned
Radiomics Tumor,"glmnet (no PCA, untuned)",9,0.287581546692417,0.591856062412262,cv_glmnet,no PCA,untuned
Radiomics Tumor,"glmnet (no PCA, untuned)",10,0.215158074195735,0.644869208335876,cv_glmnet,no PCA,untuned
Radiomics Tumor,"glmnet (PCA, untuned)",1,0.16901031361962,0.5,cv_glmnet,PCA,untuned
Radiomics Tumor,"glmnet (PCA, untuned)",2,0.17527204263344,0.5,cv_glmnet,PCA,untuned
Radiomics Tumor,"glmnet (PCA, untuned)",3,0.197194738921764,0.5,cv_glmnet,PCA,untuned
Radiomics Tumor,"glmnet (PCA, untuned)",4,0.192129269456782,0.5,cv_glmnet,PCA,untuned
Radiomics Tumor,"glmnet (PCA, untuned)",5,0.170490633733861,0.5,cv_glmnet,PCA,untuned
